Title Incident Report,Segment,Location,Date,Department / Area,Process,Operation Mode,Machine Category,Machine Type,Riskfactor,Repeat Incident,Maximum Possible Damage/Harm Occurred,Employee_Type,Gender,Type of Injury,Injured Body Part,Lost Days,Accident type
hand injury,Electric,ElJem,2021-09-10,MR,E-Assembly - Item number,Normal operation,,KSK Branch,9.3 Forced posture,NO,NO,DRX,Male,Sprain / Strain,Arm,6,Work related accident
Lumbar trauma,Electric,ElJem,2021-08-02,MR,E-Assembly - Item number,Normal operation,Tools / Utilities,Metal support of the water bottles,1.2 Parts with dangerous surfaces,NO,NO,DRX,Male,Bruise,Body,3,Work related accident
ankle injury,Electric,ElJem,2021-09-24,IR,E-Assembly - Item number,Normal operation,,Palette,"1.5 Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Sprain / Strain,Foot,3,Work related accident
epole injury,Electric,ElJem,2021-09-24,Logistics,Logistics,Normal operation,,Commission kit,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Other,Hand,6,Work related accident
hand injury,Electric,ElJem,2021-12-16,Logistics,Logistics,Normal operation,Metal Working Machine,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Fracture,Hand,16,Work related accident
hand injury,Electric,ElJem,2021-12-09,MM,E-Final Assembly - Customer order,Normal operation,-,Gable,1.2 Parts with dangerous surfaces,YES,NO,DRX,Female,Bruise,Hand,7,Work related accident
foot injury,Electric,Siliana,2021-01-08,MM,E-Staging Assembly - Item number,Normal operation,-,-,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Other,Head,10,Non-work related accident
Stumbling,Electric,Siliana,2021-02-02,ZSB,E-Assembly - Item number,Normal operation,-,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Sprain / Strain,Foot,5,Non-work related accident
eye injury,Electric,Siliana,2021-02-08,ZSB,E-Assembly - Item number,Normal operation,-,,9.5 Working with increased exertion and/or  applied strength,NO,YES,DRX,Female,Bruise,Eye,15,Work related accident
jets heurte,Electric,Siliana,2021-02-16,AB4,E-Final Assembly - Customer order,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Bruise,Body,5,Work related accident
Chute Escabo,Electric,Siliana,2021-02-16,Logistics,Logistics,Normal operation,,,1.6 Fall,NO,YES,DRX,Male,Other,Body,22,Work related accident
Accident vestiaire,Electric,Siliana,2021-03-18,ZSB,Other,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Cut,Body,3,Non-work related accident
accident pistolet pneumatique,Electric,Siliana,2021-03-26,ZSB,E-Final Assembly - Customer order,Normal operation,Tools / Utilities,Pistolet pneumatique,1.4 Parts with uncontrolled movements,YES,NO,DRX,Female,Bruise,Head,7,Work related accident
JET accident,Electric,Siliana,2021-04-08,Logistics,Logistics,Normal operation,-,,1.4 Parts with uncontrolled movements,NO,NO,DRX,Female,Bruise,Leg,5,Work related accident
Accident surface de travail,Electric,Siliana,2021-04-15,MR,E-Final Assembly - Customer order,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,NO,DRX,Female,Other,Body,5,Work related accident
accident chaussures inappropriées,Electric,Siliana,2021-04-21,MR,Other,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",,,DRX,Female,Sprain / Strain,Foot,7,Non-work related accident
Chute suite à un vertige,Electric,Siliana,2021-04-22,Production,Logistics,Normal operation,-,,"1.5 Falling, slipping, stumbling, tripping",YES,,DRX,Male,Bruise,Head,7,Non-work related accident
accident suite à mouvement anteflexion,Electric,Siliana,2021-04-29,Production,E-Final Assembly - Customer order,Normal operation,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Sprain / Strain,Body,3,Work related accident
chute au niveau de la porte outside building,Electric,Siliana,2021-04-30,outside building,,,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Sprain / Strain,Foot,7,Non-work related accident
Chute à Coté bawbrett,Electric,Siliana,2021-01-28,IR,E-Assembly - Item number,Normal operation,-,,"1.5 Falling, slipping, stumbling, tripping",,,DRX,Female,Bruise,Body,5,Work related accident
support metallique heurt,Electric,Siliana,2021-02-18,MM,Logistics,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,,DRX,Female,Bruise,Head,3,Work related accident
accident support metallique,Electric,Siliana,2021-02-19,MM,Logistics,Normal operation,-,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Bruise,Head,3,Work related accident
accident porte outside building,Electric,Siliana,2021-05-11,outside building,-,Normal operation,-,,"1.1 Controlled, moved unprotected parts",NO,,DRX,Female,Fracture,Arm,30,Non-work related accident
accident cariot elevateur,Electric,Siliana,2021-05-29,,Other,Normal operation,Work place / paths,chariot elevateur,1.3 Transport and mobile work equipment,NO,,DRX,Male,Bruise,Leg,5,Work related accident
accident levage bobine de cable,Electric,Siliana,2021-06-29,KS,E-Cable Cutting - cable or cable-set,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,5,Work related accident
Accident  JET heurt,Electric,Siliana,2021-07-07,Logistics,Logistics,Normal operation,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Female,Bruise,Body,5,Work related accident
neck injury,Electric,Siliana,2021-07-09,Administration,Other,Normal operation,,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Cut,Hand,10,Work related accident
accident,Electric,Siliana,2021-07-08,Logistics,Logistics,Normal operation,,,1.2 Parts with dangerous surfaces,YES,,DRX,Male,Bruise,Head,7,Work related accident
Chute-changement de position debout assis,Electric,Siliana,2021-09-21,VK,E-Cable Cutting - cable or cable-set,Normal operation,,,1.6 Fall,NO,YES,DRX,Female,Bruise,Arm,5,Work related accident
chute- repak mal placé,Electric,Siliana,2021-11-12,KS,E-Cable Cutting - cable or cable-set,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Bruise,Head,3,Work related accident
bobine heurte,Electric,Siliana,2021-11-15,Logistics,Logistics,Normal operation,,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Head,10,Work related accident
Ameise heurt,Electric,Siliana,2021-11-22,Logistics,Logistics,Normal operation,-,,1.3 Transport and mobile work equipment,NO,YES,DRX,Male,Fracture,Leg,45,Work related accident
knee injury,Interior,SousseUATS,2021-02-10,Annex KSIBA,Logistics,Normal operation,Power / Work machine,,1.1 Unprotected parts with controlled movements,NO,NO,DRX,Male,Fracture,Leg,135,Work related accident
Fall due to a false step,Interior,SousseUATS,2021-03-08,outside building,-,Normal operation,-,-,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Male,Fracture,Foot,23,Non-work related accident
Wound with a blade,Interior,SousseUATS,2021-11-30,Production,Other,Testing mode,-,-,1.2 Parts with dangerous surfaces,NO,NO,DRX,Male,Stab injury,Hand,13,Non-work related accident
body injury,Interior,SousseUATS,2021-12-20,Production,Other,Normal operation,Conveyor System / Robot,_,1.3 Equipement de transport et de travail mobile,NO,NO,DRX,Male,Bruise,Body,11,Work related accident
leg injury,Electric,SousseMETS,2021-03-02,Logistics,Logistics,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain / Strain,Leg,14,Work related accident
Mouth injury,Electric,SousseMETS,2021-03-03,TPT,E-Assembly - Item number,Normal operation,-,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Male,Other,,7,Work related accident
back injury,Electric,SousseMETS,2021-03-18,Logistics,Logistics,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,11,Work related accident
hand injury,Electric,SousseMETS,2021-04-15,Logistics,Logistics,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Other,Body,7,Work related accident
body injury,Electric,SousseMETS,2021-04-15,KS,E-Cable Cutting - cable or cable-set,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,30,Work related accident
hand injury,Electric,SousseMETS,2021-04-27,Zeta,Other,Normal operation,,,,NO,,DRX,Male,Fracture,Hand,30,Work related accident
back injury,Electric,SousseMETS,2021-05-03,TPT,I-Production step 2 - Prefabrication processes - technology shop,Normal operation,-,-,9.3 Forced posture,NO,NO,DRX,Male,Other,Body,20,Work related accident
hand injury,Electric,SousseMETS,2021-05-19,VK,Other,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Sprain / Strain,Arm,11,Work related accident
finger injury,Electric,SousseMETS,2021-05-25,BX8,I-Production step 4 - bulk assembly - production island,Normal operation,,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Cut,Hand,8,Work related accident
hip injury,Electric,SousseMETS,2021-05-28,BX8,Other,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Bruise,Body,6,Work related accident
hand injury,Electric,SousseMETS,2021-06-02,KS,E-Cable Cutting - cable or cable-set,Malfunction,,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Stab injury,Hand,8,Work related accident
knee injury,Electric,SousseMETS,2021-06-14,Logistics,Logistics,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Sprain / Strain,Leg,21,Work related accident
hand injury,Electric,SousseMETS,2021-06-22,Zeta,Other,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Sprain / Strain,Hand,21,Work related accident
foot injury,Electric,SousseMETS,2021-07-02,KS,Other,Normal operation,,,3.3 Skin contact with hazardous substances,NO,,DRX,Male,Stab injury,Foot,8,Work related accident
hand injury,Electric,SousseMETS,2021-07-14,BX8,E-Staging Assembly - Item number,Normal operation,,,9.2 Manual work requiring a low level of physical strength,NO,NO,DRX,Female,Bruise,Hand,10,Work related accident
back injury,Electric,SousseMETS,2021-07-29,BX8,Other,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Bruise,Body,10,Work related accident
foot injury,Electric,SousseMETS,2021-08-30,BX8,Other,Normal operation,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Bruise,Body,17,Work related accident
back injury,Electric,SousseMETS,2021-09-16,BX8,E-Final Assembly - Customer order,Normal operation,Work place / paths,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Abrasion,Body,12,Work related accident
eye injury,Electric,SousseMETS,2021-09-14,BX8,E-Final Assembly - Customer order,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Female,Stab injury,Eye,8,Work related accident
head injury,Electric,SousseMETS,2021-09-30,Logistics,Logistics,Normal operation,,,,NO,,DRX,Female,Stab injury,Head,7,Work related accident
eye injury,Electric,SousseMETS,2021-11-16,BX8,E-Final Assembly - Customer order,Normal operation,,,-,NO,,DRX,Female,Stab injury,Eye,7,Work related accident
foot injury,Electric,SousseMETS,2021-11-17,BX8,E-Final Assembly - Customer order,Normal operation,,,-,NO,,DRX,Female,Bruise,Leg,8,Work related accident
knee injury,Electric,SousseMETS,2021-11-19,Logistics,Other,Normal operation,,,-,NO,,DRX,Female,Bruise,Leg,6,Work related accident
knee injury,Electric,SousseMETS,2021-11-19,BX8,Other,Normal operation,Conveyor System / Robot,,1.2 Parts with dangerous surfaces,NO,NO,DRX,Female,Stab injury,Hand,6,Work related accident
Elbow  Injury,Electric,SousseMETS,2021-11-25,BX8,Other,Normal operation,,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,,DRX,Female,Sprain / Strain,Arm,21,Work related accident
Elbow  Injury,Electric,SousseMETS,2021-11-26,BX8,Other,Normal operation,,,"8.5 Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,,DRX,Female,Sprain / Strain,Arm,5,Work related accident
finger injury,Electric,SousseMETS,2021-12-01,Logistics,Logistics,Normal operation,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Female,Other,Hand,12,Work related accident
foot injury,Electric,ElJem,2022-01-07,Video IR,E-Assembly - Item number,,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Female,Sprain / Strain,Foot,3,Work related accident
knee injury,Electric,ElJem,2022-01-17,IR,E-Assembly - Item number,,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Male,Sprain / Strain,Leg,13,Work related accident
Pelvic trauma,Electric,ElJem,2022-04-05,WC,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,,DRX,Female,Sprain / Strain,Foot,5,Non-work related accident
Head trauma,Electric,ElJem,2022-04-19,MM,Logistics,,Lifting Gear / conveyors,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain / Strain,Head,2,Work related accident
hand injury,Electric,ElJem,2022-01-01,,,,,,,,,,,,,6,Work related accident
shoulder injury,Electric,ElJem,2022-05-13,IR06,Other,,,,4.2 - Parts with hazardous surfaces,YES,,DRX,Male,Laceration,Body,9,Work related accident
hand injury,Electric,ElJem,2022-06-21,Production,Other,,,,3.1 - Heavy physical work,NO,,DRX,Male,Laceration,Hand,4,Work related accident
eye injury,Electric,ElJem,2022-07-14,IR04,E-Pre Assembly - Detail Planning Group DPG,,,,4.2 - Parts with hazardous surfaces,YES,YES,DRX,Female,Other,Eye,3,Work related accident
hand injury,Electric,ElJem,2022-07-19,IR,E-Assembly - Item number,,,,1.2 - Workplace-related operating instruction,NO,YES,DRX,Female,Cut,Hand,7,Work related accident
Trauma to the right hypochondrium,Electric,ElJem,2022-08-17,Methalle,Logistics,,Industrial truck,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Male,Sprain / Strain,,22,Work related accident
finger injury,Electric,ElJem,2022-08-29,Logistics,Logistics,,,,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Fracture,Hand,22,Work related accident
ankle injury,Electric,ElJem,2022-09-01,MM,Logistics,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain / Strain,Foot,9,Work related accident
hand injury,Electric,ElJem,2022-09-06,MM,Logistics,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Sprain / Strain,Hand,5,Work related accident
knee injury,Electric,ElJem,2022-09-16,IR,E-Assembly - Item number,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,YES,DRX,Female,Other,Leg,3,Work related accident
hand injury,Electric,ElJem,2022-09-20,IR04,E-Pre Assembly - Detail Planning Group DPG,,,,4.4 - Parts moving uncontrolled,NO,YES,DRX,Female,Fracture,Hand,9,Work related accident
hand injury,Electric,ElJem,2022-11-02,Production,E-Assembly - Item number,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Other,Hand,8,Work related accident
hand injury,Electric,ElJem,2022-10-20,MR,E-Assembly - Item number,,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Sprain / Strain,Hand,11,Work related accident
hand injury,Electric,ElJem,2022-10-27,MM,E-Assembly - Item number,,,,4.3 - Means of transport,NO,YES,DRX,Female,Other,Hand,9,Work related accident
eye injury,Electric,ElJem,2022-10-27,IR,E-Assembly - Item number,,,,1.2 - Workplace-related operating instruction,NO,YES,DRX,Male,Other,Eye,2,Work related accident
stepladder fall,Electric,Siliana,2022-03-24,MM,Other,,-,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Male,Sprain / Strain,Foot,7,Work related accident
Injury following bawbret uprising,Electric,Siliana,2022-04-12,FBB,Other,,Lifting Gear / conveyors,,3.1 - Heavy physical work,NO,,DRX,Male,Sprain / Strain,Body,5,Work related accident
Injury following the fall of a trolley,Electric,Siliana,2022-06-07,Logistics,Logistics,,Tools / Utilities,,11.2 - Humans,NO,,DRX,Male,Other,Arm,6,Work related accident
stepladder fall,Electric,Siliana,2022-06-10,Logistics,Logistics,,Work place / stairs,,1.6 Falls,NO,,DRX,Male,Sprain / Strain,Hand,5,Work related accident
Step ladder fall,Electric,Siliana,2022-11-09,Production,Other,,,Ladders,1.6 Falls,NO,,DRX,Male,Sprain / Strain,Foot,25,Work related accident
hand injury,Electric,Siliana,2022-11-16,Production,Other,,,,1.6 Falls,NO,,DRX,Male,Sprain / Strain,Hand,5,Work related accident
head pain and swelling,Electric,Siliana,2022-01-07,IR 326,Other,,,,11.1 Other hazards caused by people,NO,,DRX,Female,Crush/bruise,Head,5,Work related accident
eye injury,Electric,Siliana,2022-01-27,MR,Other,,,,4.1 Infections,NO,,DRX,Female,Chemical burn,Eye,7,Work related accident
foot injury,Interior,SousseUATS,2022-06-03,Production,Other,,Lifting Gear / conveyors,,3.1 - Heavy physical work,NO,NO,DRX,Female,Fracture,Foot,15,Work related accident
limb injury,Interior,SousseUATS,2022-08-16,Production,Other,,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Sprain / Strain,Body,11,Work related accident
knee injury,Interior,SousseUATS,2022-12-02,Production,Other,,,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Sprain / Strain,Leg,19,Work related accident
hand injury,Electric,SousseMETS,2022-01-05,KS,E-Cable Cutting - cable or cable-set,,Power / Work Machine,Machine 061 schluniger,1.2 - Parts with dangerous surfaces,NO,,DRX,Male,Stab injury,Hand,6,Work related accident
hand injury,Electric,SousseMETS,2022-01-25,Logistics,Logistics,,,,3.1 - Heavy physical work,YES,NO,DRX,Male,Sprain / Strain,Arm,6,Work related accident
back injury,Electric,SousseMETS,2022-01-28,TPT,E-Assembly - Item number,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Male,Other,Body,15,Work related accident
Lumbar trauma,Electric,SousseMETS,2022-01-31,Production,E-Assembly - Item number,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Female,Other,Body,7,Work related accident
eye injury,Electric,SousseMETS,2022-02-22,Production,E-Assembly - Item number,,,,4.4 - Parts moving uncontrolled,NO,,DRX,Female,Other,Eye,5,Work related accident
Stab wound,Electric,SousseMETS,2022-01-03,BX8,,,-,,,NO,,DRX,Female,-,Foot,26,Non-work related accident
ankle injury,Electric,SousseMETS,2022-03-15,outside Building,Other,,,,4.4 - Parts moving uncontrolled,NO,,DRX,Female,Other,Foot,14,Non-work related accident
shoulder injury,Electric,SousseMETS,2022-03-21,outside Building,Other,,,,4.3 - Means of transport,NO,,DRX,Female,Other,Hand,19,Non-work related accident
back injury,Electric,SousseMETS,2022-04-20,KS,Other,,,,3.1 - Heavy physical work,NO,,DRX,Female,Other,Body,13,Work related accident
knee injury,Electric,SousseMETS,2022-04-21,Outside Building,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Male,Crush/bruise,Leg,7,Non-work related accident
foot injury,Electric,SousseMETS,2022-04-22,KS,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Male,Crush/bruise,Foot,13,Work related accident
hand injury,Electric,SousseMETS,2022-05-18,Logistics,Logistics,,,,4.2 - Parts with hazardous surfaces,NO,,DRX,Male,Stab wound,Hand,6,Work related accident
hand injury,Electric,SousseMETS,2022-05-12,VK,E-Cable Cutting - cable or cable-set,,,,11.2 - Humans,NO,,DRX,Female,Crush/bruise,Hand,11,Work related accident
hand injury,Electric,SousseMETS,2022-05-06,KS,E-Cable Cutting - cable or cable-set,,,Schleuniger CrimpCenter 63,1.2 - Workplace-related operating instruction,NO,,DRX,Male,Crush/bruise,Hand,12,Work related accident
shoulder injury,Electric,SousseMETS,2022-05-18,Outside Building,Other,,,,4.3 - Means of transport,NO,,DRX,Female,Other,Hand,8,Non-work related accident
foot injury,Electric,SousseMETS,2022-05-20,VK,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Female,Other,Foot,15,Non-work related accident
Leg injury,Electric,SousseMETS,2022-05-30,BX8,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,,DRX,Male,Other,Foot,11,Non-work related accident
Inguinal Hernia Injury,Electric,SousseMETS,2022-06-07,Logistics,Logistics,,,,3.1 - Heavy physical work,YES,,DRX,Male,Other,Leg,8,Work related accident
toe injury,Electric,SousseMETS,2022-06-08,Logistics,Logistics,,,,2.2 - Traffic routes,NO,,DRX,Male,Crush/bruise,Foot,8,Work related accident
eye injury,Electric,SousseMETS,2022-07-05,BX8,Other,,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Stab injury,Eye,4,Work related accident
hand injury,Electric,SousseMETS,2022-08-11,BX8,E-Final Assembly - Customer order,,,,10.4 Work environment,NO,,DRX,Female,Crush/bruise,Hand,11,Work related accident
Nose Injury,Electric,SousseMETS,2022-08-17,Logistics,Other,,,,1.3 Transport and mobile work equipment,YES,,DRX,Female,Crush/bruise,Head,11,Non-work related accident
foot injury,Electric,SousseMETS,2022-08-23,BX8,Other,,,,"1.5 Falling, slipping, stumbling, tripping",YES,,DRX,Female,Crush/bruise,Foot,15,Work related accident
shoulder injury,Electric,SousseMETS,2022-08-23,KS,,,,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/bruise,Body,11,Non-work related accident
Slipping caused by a fall from the stairs,Electric,SousseMETS,2022-09-05,TPT,Other,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,NO,DRX,Male,Sprain / Strain,Body,41,Work related accident
head injury,Electric,SousseMETS,2022-09-02,BX8,E-Final Assembly - Customer order,,Tools / Utilities,Pistole,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Stab injury,Head,6,Work related accident
back injury,Electric,SousseMETS,2022-09-08,VK,Other,,Work place / paths,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Crush/bruise,Body,10,Work related accident
finger injury,Electric,SousseMETS,2022-09-19,BX8,E-Final Assembly - Customer order,,-,,1.4 Parts with uncontrolled movements,NO,,DRX,Male,Crush/bruise,Hand,15,Work related accident
foot injury,Electric,SousseMETS,2022-09-28,Outside Building,Other,,,,4.3 - Means of transport,NO,,DRX,Female,Other,Foot,11,Non-work related accident
Head injury,Electric,SousseMETS,2022-09-28,Zeta,,,-,,1.4 Parts with uncontrolled movements,NO,,DRX,Male,Crush/bruise,Head,6,Work related accident
back injury,Electric,SousseMETS,2022-10-26,BX8,Other,,-,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,Body,6,Work related accident
eye injury,Electric,SousseMETS,2022-10-31,BX8,Other,,-,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/bruise,Eye,5,Non-work related accident
ankle injury,Electric,SousseMETS,2022-11-11,Logistics,Logistics,,Tools / Utilities,Trolley,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Stab wound,Foot,11,Work related accident
foot injury,Electric,SousseMETS,2022-11-30,KS,E-Cable Cutting - cable or cable-set,,Tools / Utilities,Trolley,"9.1 Lifting, holding, carrying or pulling, pushing",YES,,DRX,Male,Fracture,Foot,13,Work related accident
shoulder injury,Electric,SousseMETS,2022-12-01,Production,E-Cable Cutting - cable or cable-set,,Tools / Utilities,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Other,-,14,Work related accident
Leg injury,Electric,Jemmal,2022-02-23,,E-Assembly - Item number,,Conveyor System / Robot,Conveyor system,1.2 Parts with dangerous surfaces,NO,NO,DRX,Female,Crush/bruise,Leg,1,Work related accident
level fall,Electric,Jemmal,2022-04-01,Changing room,Other,,Work place / stairs,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",YES,NO,DRX,Female,Sprain / Strain,Leg,15,Work related accident
finger injury,Electric,Jemmal,2022-07-12,FBB,Other,,Wood and processing machines,circular saw,1.2 - Workplace-related operating instruction,NO,NO,DRX,Male,Cut,Hand,8,Work related accident
Nose injury,Electric,Jemmal,2022-09-23,IR,E-Final Assembly - Customer order,,Tools / Utilities,Lagger,2.1 - Working spaces,NO,YES,DRX,Female,Crush/bruise,Head,7,Work related accident
lumbago,Electric,ElJem,2023-02-02,MM,E-Pre Assembly - Detail Planning Group DPG,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,YES,DRX,Female,Other,Body,7,Work related accident
toe injury,Electric,ElJem,2023-02-21,Logistics,Logistics,,,,4.3 - Means of transport,NO,YES,DRX,Male,Fracture,Foot,15,Work related accident
lumbago,Electric,ElJem,2023-03-18,Logistics,Other,,,,1.1 - Workplace-related training,NO,YES,DRX,Male,Other,Body,6,Work related accident
body injury,Electric,ElJem,2023-04-06,Logistics,Logistics,,,,1.1 - Workplace-related training,NO,YES,DRX,Male,Other,Body,2,Work related accident
back injury,Electric,ElJem,2023-06-14,IR,Other,,,,1.2 - Workplace-related operating instruction,NO,YES,DRX,Male,Other,Body,3,Work related accident
hand injury,Electric,ElJem,2023-08-22,IR,I-Production step 3 - lamination and finishing processes - production cell,,,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Hand,3,Work related accident
foot injury,Electric,ElJem,2023-09-22,Logistics,Logistics,,Lifting Gear / conveyors,Amaisa,2.2 - Traffic routes,NO,NO,DRX,Male,Crush/bruise,Foot,7,Work related accident
Right pelvis Trauma,Electric,ElJem,2023-11-02,,I-Production step 5 - sequenced assembly - production island,,,,"2.3 - Falling on even ground, slipping, stumbling, twisting
one’s ankle, missteps",NO,NO,DRX,Male,Crush/bruise,Body,4,Work related accident
elbow injury,Electric,ElJem,2023-12-15,Production,E-Final Assembly - Customer order,,Power / Work Machine,Transpalet,2.2 - Traffic routes,NO,NO,DRX,Female,Crush/bruise,Head,1,Work related accident
hand injury,Electric,Siliana,2023-01-17,IR,Other,,,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,,DRX,Male,Crush/bruise,Hand,7,Non-work related accident
foot injury,Electric,Siliana,2023-02-23,Production,Other,,Processing Machines,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Crush/bruise,Foot,5,Non-work related accident
crush internal organ,Electric,Siliana,2023-03-03,Production,Other,,Work place / paths,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Crush/bruise,Internal organs,18,Work related accident
foot injury,Electric,Siliana,2023-06-02,KS,Other,,Work place / paths,,1.2 Parts with dangerous surfaces,NO,,DRX,Male,Crush/bruise,Foot,25,Work related accident
interna organ crush,Electric,Siliana,2023-08-16,Quality,Other,,Work place / paths,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/bruise,Leg,10,Work related accident
interna organ crush,Electric,Siliana,2023-08-16,Quality,Other,,Work place / paths,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/bruise,Hand,10,Work related accident
interna organ crush,Electric,Siliana,2023-07-11,Production,E-Cable Cutting - cable or cable-set,,Work place / paths,,"1.5 Falling, slipping, stumbling, tripping",NO,,DRX,Male,Crush/bruise,Leg,7,Work related accident
hip injury,Electric,Siliana,2023-10-19,ZB,Other,,Tool / Utilities,,10.3 - Social conditions,NO,NO,DRX,Male,Crush/bruise,Body,7,Non-work related accident
hand injury,Electric,Siliana,2023-11-11,,Other,,,,11.1 - Humans,NO,NO,DRX,Female,Crush/bruise,Leg,7,Work related accident
hand injury,Electric,Siliana,2023-11-15,VK,E-Cable Cutting - cable or cable-set,,,,11.2 - Humans,NO,NO,DRX,Female,Stab injury,Hand,10,Non-work related accident
